PodID,CustomerID,TariffID,PeakConsumption,StandardConsumption,OffPeakConsumption,Block1Consumption,Block2Consumption,Block3Consumption,Block4Consumption,NonTOUConsumption
3497898058.MININTER,5078338819,MININTER,633.00,1793.00,1686.00,0.00,0.00,0.00,0.00,0.00
3497898058.MININTER,5078338819,MININTER,295.00,924.00,823.00,0.00,0.00,0.00,0.00,0.00
3497898058.MININTER,5078338819,MININTER,507.00,1549.00,1178.00,0.00,0.00,0.00,0.00,0.00
3497898058.MININTER,5078338819,MININTER,604.00,1936.00,1290.00,0.00,0.00,0.00,0.00,0.00
3497898058.MININTER,5078338819,MININTER,569.00,2073.00,1172.00,0.00,0.00,0.00,0.00,0.00
3497898058.MININTER,5078338819,MININTER,488.00,1557.00,1012.00,0.00,0.00,0.00,0.00,0.00
3497898058.MININTER,5078338819,MININTER,818.00,2370.00,2123.00,0.00,0.00,0.00,0.00,0.00
3497898058.MININTER,5078338819,MININTER,1873.00,4179.00,3491.00,0.00,0.00,0.00,0.00,0.00
3497898058.MININTER,5078338819,MININTER,2234.00,5307.00,5604.00,0.00,0.00,0.00,0.00,0.00
3497898058.MININTER,5078338819,MININTER,2206.00,5252.00,6579.00,0.00,0.00,0.00,0.00,0.00
3497898058.MININTER,5078338819,MININTER,3337.00,6905.00,6348.00,0.00,0.00,0.00,0.00,0.00
3497898058.MININTER,5078338819,MININTER,3388.00,6834.00,6716.00,0.00,0.00,0.00,0.00,0.00
